범죄발생장소,,,,,,,,,,,,,,,,,,,,범죄발생장소,,,,,,,,,,,,,,,,,,
Ⅲ-1-6,,,,,,,,,,,,,,,,,,,,Ⅲ-1-6,,,,,,,,,,,,,,,,,,
구분,,계,"아파트,
연립다세대",단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,"시장,노점","숙박업소,
목욕탕",유흥접객업소,사무실,공장,"공사장,광산",창고,"역,
대합실",구분,,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,PC방,기타
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계,,"1,793,400","52,509","77,671","4,254","689,785","1,987","5,926","6,995","3,335","28,977","10,504","22,209","84,848","128,343","12,948","8,036","2,794","4,075",계,,"1,783","16,404","2,002","4,717","7,801","28,095","9,856","2,895","7,804","12,280","4,624",34,576,"20,637","1,662","11,153","515,881"
구성비,,(100.0),(2.9),(4.3),(0.2),(38.5),(0.1),(0.3),(0.4),(0.2),(1.6),(0.6),(1.2),(4.7),(7.2),(0.7),(0.4),(0.2),(0.2),,,(0.1),(0.9),(0.1),(0.3),(0.4),(1.6),(0.5),(0.2),(0.4),(0.7),(0.3),(0.0),(0.0),(1.2),(0.1),(0.6),(28.8)
강력범죄,소계,"25,149","2,408","2,642",12,"3,686",9,64,343,18,250,119,"2,409","1,471",436,54,32,33,183,강력범죄,소계,474,757,37,216,183,19,154,66,95,6,5,0,9,280,207,60,"8,412"
,살인기수,411,103,89,1,52,0,0,0,0,3,0,19,20,4,1,1,1,1,,살인기수,0,8,0,3,1,0,7,3,10,1,0,0,0,5,1,1,76
,살인미수등,584,88,74,2,112,0,3,3,0,3,3,10,36,30,3,0,0,2,,살인미수등,0,12,0,4,2,1,4,1,5,0,0,0,1,10,0,0,175
,강도,"2,587",141,238,1,628,1,30,257,6,73,10,85,132,32,5,2,2,9,,강도,2,47,2,18,7,9,9,1,6,0,0,0,0,48,5,17,764
,강간강제추행,"19,670","1,866","1,963",8,"2,699",6,28,82,12,145,77,"2,271","1,239",307,29,14,18,167,,강간강제추행,471,680,32,183,163,5,122,45,65,5,5,0,8,162,195,40,"6,558"
,방화,"1,897",210,278,0,195,2,3,1,0,26,29,24,44,63,16,15,12,4,,방화,1,10,3,8,10,4,12,16,9,0,0,0,0,55,6,2,839
절도,,"290,460","14,800","20,401",128,"40,448","1,493","3,475","2,975","2,757","9,568","3,131","10,346","13,331","4,823","2,139","2,834","1,493",902,절도,,577,"3,735",574,"1,533","3,295","5,519","2,165","1,134","2,500",67,26,0,125,"9,786",463,"3,415","120,502"
폭력범죄,소계,"312,579","13,206","13,668",236,"76,985",118,642,"1,197",127,"2,722","2,037","3,370","22,776","6,944","1,207",852,122,959,폭력범죄,소계,232,"5,737",243,"1,949","2,628",211,"1,526",581,"1,422",268,46,10,120,"7,355",448,814,"141,821"
,상해,"62,342","3,375","3,373",50,"15,615",42,133,189,33,583,499,816,"5,823","2,073",464,277,37,193,,상해,47,"1,314",77,491,644,23,456,154,212,33,14,4,22,834,102,135,"24,205"
,폭행,"130,546","5,078","5,024",111,"32,285",52,291,656,54,996,680,"1,265","9,186","2,184",368,202,22,533,,폭행,155,"2,850",84,780,715,46,661,144,154,58,25,2,23,"1,294",164,374,"64,030"
,체포감금,876,63,75,2,175,0,0,2,0,7,3,45,38,61,4,1,1,2,,체포감금,0,25,2,2,7,0,64,10,4,0,0,0,0,15,1,2,265
,협박,"4,480",466,599,5,628,3,11,17,3,62,52,44,256,413,24,8,0,3,,협박,1,38,3,19,42,3,59,16,10,2,0,2,1,39,1,9,"1,641"
,약취유인,200,18,21,0,62,0,0,0,0,1,1,17,4,3,0,0,0,1,,약취유인,1,2,0,1,6,0,2,3,0,0,0,0,0,0,1,0,56
,폭력행위등,"46,725","1,895","2,073",41,"11,881",10,81,125,20,303,319,445,"4,788",897,169,166,16,109,,폭력행위등,13,"1,017",40,498,692,21,146,136,153,20,5,1,23,594,92,120,"19,816"
,공갈,"6,698",206,214,1,"1,791",4,32,58,3,68,53,63,493,573,33,25,0,21,,공갈,3,60,12,80,379,26,30,8,11,0,1,1,3,79,27,136,"2,204"
,손괴,"60,712","2,105","2,289",26,"14,548",7,94,150,14,702,430,675,"2,188",740,145,173,46,97,,손괴,12,431,25,78,143,92,108,110,878,155,1,0,48,"4,500",60,38,"29,604"
지능범죄,소계,"295,101","8,916","17,412",152,"12,523",241,662,"1,118",178,"8,145","2,008","1,779","19,128","74,448","2,857","2,586",552,655,지능범죄,소계,162,"2,309",306,330,581,"18,604","2,840",480,694,135,41,17,60,581,93,"3,654","110,854"
,직무유기,496,3,13,1,31,0,0,0,0,3,1,1,9,274,4,5,0,0,,직무유기,0,0,0,1,13,1,3,2,8,0,0,3,1,3,0,0,116
,직권남용,276,4,3,1,44,0,0,0,0,3,1,0,6,139,2,1,0,2,,직권남용,0,2,0,2,6,0,3,1,4,0,0,3,1,1,0,0,47
,증수뢰,357,2,5,0,15,0,0,0,0,4,0,3,26,214,1,2,0,0,,증수뢰,0,1,0,1,7,10,2,1,0,0,0,0,0,2,0,0,61
,통화,"8,203",5,2,2,96,1,90,90,12,141,123,13,48,269,0,0,0,10,,통화,1,20,1,26,0,"5,286",10,4,0,0,0,0,0,0,0,5,"1,948"
,문서인장,"14,393",237,518,16,371,3,30,156,7,330,72,34,301,"6,862",28,48,1,41,,문서인장,2,61,82,5,28,282,104,19,17,36,7,0,3,13,1,28,"4,650"
,유가증권인지,508,3,4,1,12,1,5,0,0,5,2,7,15,197,3,4,0,0,,유가증권인지,0,3,4,0,0,56,1,0,0,0,0,0,0,0,0,1,184
