범죄발생장소,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,단위 : 건(발생원표)
"               구  분
  죄  종",,계,"아파트,연립다세대",단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,"시장,노점","숙박업소,목욕탕",유흥접객업소,사무실,공장,"공사장,광산",창고,"역,대합실",지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,피씨방,기타
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"계
(%)",,"1,857,276","77,667","106,024","3,659","827,395","3,146","10,951","12,259","3,551","42,924","16,447","31,710","123,372","142,511","13,991","10,967","4,258","11,361","2,723","26,222","2,483","7,097","8,798","30,709","11,552","3,789","9,701","14,870","5,862",50,744,"32,775","3,271","13,387","241,050"
,,(100.0),(4.2),(5.7),(0.2),(44.5),(0.2),(0.6),(0.7),(0.2),(2.3),(0.9),(1.7),(6.6),(7.7),(0.8),(0.6),(0.2),(0.6),(0.1),(1.4),(0.1),(0.4),(0.5),(1.7),(0.6),(0.2),(0.5),(0.8),(0.3),(0.0),(0.0),(1.8),(0.2),(0.7),(13.0)
강력범죄 ,소계,"26,962","3,363","3,429",13,"5,575",15,142,448,19,434,228,"3,580","2,452",601,98,26,43,334,614,"1,418",67,325,261,32,266,91,126,10,4,6,11,350,290,74,"2,217"
,살인기수,342,97,101,0,36,0,0,1,0,1,1,15,9,11,4,0,0,2,0,5,0,5,0,0,6,2,11,2,0,0,0,4,2,0,27
,살인미수등,587,104,130,2,143,0,3,1,0,11,1,18,64,22,3,2,0,2,0,16,1,4,2,0,6,1,3,1,0,0,2,8,0,0,37
,강도,"1,980",169,222,1,630,1,41,246,4,69,19,101,142,50,1,2,3,3,0,44,3,12,6,13,13,11,8,0,0,3,1,45,10,11,96
,강간,"5,753","1,070","1,179",3,340,0,1,8,0,39,16,"1,869",314,79,5,4,5,2,0,140,4,41,28,1,24,13,40,1,0,1,3,70,72,6,375
,유사강간,132,21,24,0,10,0,1,0,0,1,0,20,9,4,0,0,2,0,0,6,1,3,2,0,2,2,1,0,0,0,0,3,5,2,13
,강제추행,"14,778","1,098",940,7,"4,030",11,87,183,14,264,137,"1,204","1,774",370,52,9,10,315,613,"1,155",54,224,187,15,190,40,37,1,4,2,1,139,139,54,"1,418"
,기타(강간?강제추행),"1,647",425,474,0,92,0,1,5,0,9,3,299,56,16,2,0,0,3,0,40,3,16,20,0,18,4,9,0,0,0,2,11,40,1,98
,방화,"1,743",379,359,0,294,3,8,4,1,40,51,54,84,49,31,9,23,7,1,12,1,20,16,3,7,18,17,5,0,0,2,70,22,0,153
절도,,"288,343","22,706","30,221",179,"65,598","2,409","6,400","5,083","2,992","16,865","5,237","15,334","22,647","6,689","2,658","4,277","2,199","1,663",796,"5,953",921,"2,636","4,251","7,967","3,172","1,678","3,721",54,20,1,169,"15,992","1,037","5,457","21,361"
폭력범죄 ,소계,"294,188","22,405","22,712",317,"127,392",184,"1,161","2,172",184,"4,418","3,204","5,265","36,681","8,722","1,597","1,225",193,"1,471",436,"10,220",392,"2,687","2,177",380,"2,370",783,"1,772",168,35,9,95,"12,482",630,"1,164","19,085"
,상해,"55,884","4,525","4,475",65,"22,452",51,227,351,37,791,631,"1,048","8,101","2,312",576,353,44,228,59,"2,056",86,600,606,52,626,187,231,19,9,2,15,"1,201",126,178,"3,564"
,폭행,"128,699","10,220","9,934",159,"58,072",83,579,"1,212",104,"1,685","1,256","2,141","16,526","3,456",535,401,45,941,320,"5,439",185,"1,286",700,80,"1,190",219,190,47,13,5,20,"2,233",255,663,"8,505"
,체포?감금,929,93,104,6,256,0,3,3,2,17,7,62,47,59,5,1,3,1,0,48,0,1,9,3,64,9,4,0,1,0,1,9,2,1,108
,협박,"4,661",660,823,11,928,12,16,36,5,83,40,66,300,424,31,20,2,10,5,64,5,17,47,10,62,19,17,2,2,0,1,45,2,13,883
,약취?유인,188,21,29,0,62,0,0,1,0,1,0,14,2,5,1,0,0,7,0,3,0,5,11,0,3,0,0,0,0,0,0,3,2,2,16
,폭력행위등,"41,704","2,943","3,307",44,"17,402",19,146,243,12,461,424,616,"7,390","1,088",253,209,20,106,23,"1,830",54,572,443,29,211,166,167,28,8,1,12,804,132,122,"2,419"
,공갈,"4,310",299,284,2,"1,605",3,13,53,3,59,50,98,395,266,11,23,0,21,4,29,9,80,163,33,29,6,10,0,0,1,0,67,19,108,567
,손괴,"57,813","3,644","3,756",30,"26,615",16,177,273,21,"1,321",796,"1,220","3,920","1,112",185,218,79,157,25,751,53,126,198,173,185,177,"1,153",72,2,0,46,"8,120",92,77,"3,023"
지능범죄 ,소계,"329,439","12,831","23,691",173,"18,767",348,887,"1,957",183,"10,948","2,653","1,826","24,724","77,836","3,355","2,590",499,965,287,"3,522",371,527,717,"18,677","2,148",447,737,43,72,21,261,761,296,"3,732","112,587"
,직무유기,555,9,16,0,39,0,0,1,0,1,7,1,3,320,4,2,0,0,0,3,1,2,15,3,8,0,17,1,2,4,0,0,0,0,96
,직권남용,325,7,10,1,45,0,1,2,0,1,5,0,9,153,2,0,0,0,0,6,1,3,5,0,0,1,9,0,0,3,0,1,1,0,59
,증수뢰,253,3,3,1,18,0,0,0,0,1,0,0,25,124,0,5,0,1,0,1,0,3,5,2,3,1,0,0,2,0,0,4,0,0,51
,통화,"3,874",6,10,7,101,3,96,98,7,163,83,14,57,174,0,0,0,13,0,26,3,9,0,"2,517",12,1,0,0,1,0,0,2,0,8,463
,문서?인장,"15,385",277,562,11,529,9,48,196,12,513,137,58,328,"7,726",53,34,1,19,3,105,83,8,44,358,146,35,15,2,11,1,2,25,1,63,"3,970"
,유가증권인지,456,7,6,0,24,0,5,14,0,13,8,4,15,170,1,2,0,0,0,5,3,3,0,57,3,0,0,0,0,0,0,1,0,0,115
,사기,"269,082","11,575","22,223",109,"11,976",168,471,"1,194",75,"8,038","2,022","1,548","22,885","58,554","2,481","2,139",369,456,35,"2,218",182,207,389,"14,603","1,760",318,555,18,45,10,246,429,5,"3,503","98,276"
,횡령,"34,892",706,718,44,"5,951",159,263,452,88,"2,139",358,186,"1,296","8,523",506,363,120,475,249,"1,154",95,290,246,"1,019",201,79,113,19,8,3,13,294,289,151,"8,322"
,배임,"4,617",241,143,0,84,9,3,0,1,79,33,15,106,"2,092",308,45,9,1,0,4,3,2,13,118,15,12,28,3,3,0,0,5,0,7,"1,235"
풍속범죄 ,소계,"27,373","1,834","3,364",5,"1,980",27,79,71,18,505,243,"1,296","2,094","4,267",45,1,43,854,441,215,134,140,88,31,49,13,33,0,1,0,0,48,712,538,"8,204"
,성풍속범죄,"19,385","1,523","2,252",5,"1,895",26,59,67,18,235,83,"1,152",728,"2,294",11,0,2,849,441,195,35,84,87,25,48,12,12,0,1,0,0,33,712,422,"6,079"
,도박범죄,"7,988",311,"1,112",0,85,1,20,4,0,270,160,144,"1,366","1,973",34,1,41,5,0,20,99,56,1,6,1,1,21,0,0,0,0,15,0,116,"2,125"
특별경제범죄 ,,"71,019","2,379","3,974",25,"4,379",94,448,"1,103",71,"2,798","1,159",883,"9,745","12,863","1,141",300,51,175,47,"1,369",91,59,126,"3,203",763,88,110,4,3,0,10,151,4,285,"23,118"
마약범죄,,"4,598",410,807,9,"1,180",0,1,3,0,39,24,544,141,177,6,4,2,37,3,147,1,24,2,14,196,0,123,1,7,0,3,49,34,12,598
보건범죄,,"20,383",240,311,3,833,8,859,21,22,"2,555","1,389",333,"5,091","3,754",484,4,130,20,3,196,16,25,13,5,950,16,76,8,0,0,6,34,0,19,"2,959"
환경범죄,,"4,135",7,26,0,321,1,0,0,0,37,4,5,53,634,961,258,10,19,0,18,7,1,4,0,12,3,253,321,0,0,11,4,0,0,"1,165"
교통범죄,,"573,453",134,33,"2,519","567,776",2,4,1,1,58,44,8,15,79,17,25,3,14,0,49,2,11,9,0,11,4,40,114,1,0,4,"1,593",1,0,881
노동범죄,,"1,721",18,20,1,109,0,0,2,0,2,9,8,282,538,31,18,0,401,0,22,0,0,2,0,4,1,2,11,0,0,0,0,0,1,239
안보범죄,,135,5,9,0,19,0,0,0,0,0,0,2,2,18,0,0,0,4,0,0,0,0,6,0,0,2,0,1,0,0,0,0,0,3,64
선거범죄,,398,14,15,0,136,0,0,0,0,2,2,1,13,83,0,0,0,1,0,1,1,3,12,2,2,1,0,0,0,0,1,0,0,1,107
병역범죄,,"26,173","2,004","6,044",0,776,0,2,0,0,27,8,59,7,"1,978",6,1,0,16,4,2,9,72,24,6,24,1,37,0,"5,679",0,13,1,0,2,"9,371"
기타,,"188,956","9,317","11,368",415,"32,554",58,968,"1,398",61,"4,236","2,243","2,566","19,425","24,272","3,592","2,238","1,085","5,387",92,"3,090",471,587,"1,106",392,"1,585",661,"2,671","14,135",40,13,160,"1,310",267,"2,099","39,094"
