범죄대분류,범죄중분류,계,"아파트,연립다세대",단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,"시장,노점","숙박업소,목욕탕",유흥접객업소,사무실,공장,"공사장,광산",창고,"역,대합실",지하철,기타표통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,피씨방,기타
강력범죄,살인기수,365,84,101,-,43,-,1,1,-,1,-,16,11,5,1,-,-,-,-,6,-,2,1,-,9,1,1,3,-,-,-,6,-,-,72
강력범죄,살인미수등,564,92,88,-,134,-,2,-,-,7,4,8,31,16,1,-,1,1,-,9,-,7,2,-,5,3,4,2,-,-,-,11,2,-,134
강력범죄,강도,1446,97,143,3,408,1,11,157,3,31,7,109,85,32,5,2,1,2,1,23,-,7,2,16,2,4,12,-,-,-,-,32,4,5,241
강력범죄,강간,5151,908,994,1,243,-,1,5,-,35,19,1364,255,62,3,-,5,2,-,124,1,30,28,1,18,22,26,-,-,-,2,57,46,6,893
강력범죄,유사강간,518,73,80,1,42,-,2,-,-,3,4,71,42,13,-,1,-,1,-,12,-,6,19,-,5,1,6,-,-,-,-,7,18,-,111
강력범죄,강제추행,15059,900,842,18,3121,15,56,157,5,152,89,656,"1,636",396,32,9,7,270,788,793,51,222,249,8,208,46,36,1,7,7,1,106,72,39,"4,064"
강력범죄,기타 강간 강제추행등,558,97,164,-,37,-,1,-,-,4,1,82,13,4,-,-,1,-,-,9,1,6,3,-,2,6,2,-,-,-,-,6,14,1,104
강력범죄,방화,1673,253,291,-,204,-,2,3,2,18,12,30,46,52,20,4,18,8,1,-,-,17,6,6,17,10,10,3,-,-,2,30,2,1,605
절도범죄,절도,245853,11042,15565,133,45307,1928,5080,4351,2170,8850,2475,5165,"12,370","5,462","1,715","1,890","1,344","1,186",645,"5,414",473,"1,462","1,664","5,819","1,646","1,151","2,522",116,17,1,38,"10,325",483,"2,592","85,452"
폭력범죄,상해,48005,3564,3385,47,16716,41,102,194,16,395,341,497,"4,498","1,727",442,251,30,128,21,246,31,499,471,24,482,144,190,32,13,10,6,811,53,80,"12,518"
폭력범죄,폭행,149278,10608,8753,135,54497,71,289,932,35,928,483,890,"9,849","2,576",436,251,50,433,172,"1,108",79,"1,198",530,67,896,192,163,58,21,20,6,"1,971",66,282,"51,233"
폭력범죄,체포 감금,1028,90,102,5,247,-,4,-,1,7,6,40,44,50,6,-,2,3,-,56,3,3,12,1,58,7,4,1,-,2,-,16,2,2,254
폭력범죄,협박,9187,1199,1288,88,1870,3,18,52,4,104,53,67,417,535,46,13,2,11,2,43,5,38,42,9,79,18,32,4,4,6,-,104,-,12,"3,019"
폭력범죄,약취?유인,190,20,18,-,66,-,-,-,-,1,-,8,3,1,-,-,-,5,-,5,-,3,6,-,7,2,-,-,-,-,-,1,-,-,44
폭력범죄,폭력행위등,35686,2374,2463,129,12838,5,43,137,2,207,209,296,"3,879",855,182,119,25,37,13,86,15,353,246,29,134,139,118,20,7,1,7,486,44,75,"10,113"
폭력범죄,공갈,3596,203,259,2,773,1,9,43,4,92,51,58,600,307,16,14,-,10,-,12,6,26,65,42,30,6,7,-,-,-,1,36,2,67,854
폭력범죄,손괴,58977,3050,3004,27,22143,6,79,185,10,597,261,606,"1,987",798,129,155,65,75,13,65,27,128,103,79,107,114,"1,086",79,-,2,17,"5,786",36,47,"18,111"
지능범죄,직무유기,507,8,11,-,43,-,-,-,-,1,1,1,4,304,3,3,-,1,1,-,3,3,11,1,2,1,6,2,1,5,-,1,-,-,90
